IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.41,61.6,7.6,Tidak Aktif,Tinggi,P,Tidak,Ya
2.01,72.0,9.3,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.07,75.3,24.3,Tidak Aktif,Menengah,L,Tidak,Tidak
2.84,77.1,10.2,Tidak Aktif,Menengah,P,Tidak,Ya
3.26,82.5,17.2,Tidak Aktif,Menengah,P,Tidak,Ya
3.37,78.3,0.9,Tidak Aktif,Menengah,P,Ya,Tidak
3.11,94.6,,Aktif,Tinggi,L,Tidak,Ya
3.39,73.9,18.2,Tidak Aktif,Menengah,L,Ya,Ya
3.15,71.7,12.7,Tidak Aktif,Menengah,L,Tidak,Ya
3.29,,18.0,Aktif,Menengah,L,Ya,Tidak
2.73,63.6,4.1,Aktif,Tinggi,L,Tidak,Tidak
2.97,86.7,22.3,Aktif,Tinggi,P,Tidak,Ya
3.14,83.2,11.7,Tidak Aktif,Rendah,L,Ya,Ya
3.42,80.2,12.6,Tidak Aktif,Rendah,P,Ya,Ya
2.87,100.0,10.6,Aktif,Menengah,L,Tidak,Ya
3.28,74.5,,Tidak Aktif,Menengah,L,Tidak,Ya
2.93,100.0,18.9,Tidak Aktif,Menengah,L,Tidak,Ya
3.0,79.3,15.8,Aktif,Rendah,L,Tidak,Ya
3.42,66.7,18.6,Tidak Aktif,Menengah,P,Tidak,Tidak
2.15,82.8,13.9,Aktif,Menengah,P,Tidak,Tidak
2.47,69.1,17.6,Tidak Aktif,Menengah,P,Tidak,Ya
2.38,73.0,11.1,Tidak Aktif,Menengah,L,Tidak,Tidak
2.0,86.8,29.6,Aktif,Menengah,P,Tidak,Tidak
2.74,88.7,3.0,Tidak Aktif,Menengah,L,Ya,Ya
3.39,74.5,22.8,Tidak Aktif,Tinggi,P,Ya,Ya
2.92,93.8,23.6,Tidak Aktif,Menengah,P,Tidak,Ya
3.14,95.9,8.0,Tidak Aktif,Menengah,L,Tidak,Tidak
3.54,99.2,29.6,Tidak Aktif,Menengah,L,Tidak,Tidak
3.65,88.4,21.0,Aktif,Rendah,L,Tidak,Ya
3.02,98.4,20.8,Tidak Aktif,Rendah,L,Ya,Tidak
3.66,59.4,,Tidak Aktif,Menengah,P,Tidak,Ya
3.09,78.2,12.5,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.67,71.6,12.5,Tidak Aktif,Menengah,P,Tidak,Ya
2.78,83.4,16.7,Tidak Aktif,Rendah,L,Ya,Ya
2.38,75.1,23.8,Aktif,Menengah,P,Tidak,Ya
2.65,80.0,15.3,Tidak Aktif,Rendah,L,Tidak,Tidak
2.89,100.0,7.6,Aktif,Menengah,P,Tidak,Ya
3.41,80.0,19.8,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.82,87.0,20.4,Tidak Aktif,,L,Ya,Tidak
2.43,,18.6,Tidak Aktif,Menengah,P,Tidak,Tidak
,82.9,19.2,Tidak Aktif,Menengah,L,Tidak,Ya
2.58,82.1,12.1,Aktif,Menengah,L,Tidak,Tidak
3.26,87.4,7.5,Tidak Aktif,Tinggi,P,Tidak,Ya
2.99,96.0,7.9,Tidak Aktif,Menengah,L,Tidak,Tidak
2.23,100.0,2.6,Tidak Aktif,Menengah,P,Tidak,Tidak
3.47,85.7,15.7,Aktif,Menengah,P,Tidak,Tidak
2.78,89.1,13.4,Aktif,Rendah,P,Tidak,Ya
2.81,68.2,10.9,Tidak Aktif,Rendah,P,Tidak,Ya
2.57,80.9,0.0,Tidak Aktif,Rendah,P,Tidak,Tidak
2.76,93.3,5.3,Tidak Aktif,Menengah,P,Tidak,Tidak
3.24,92.4,21.8,Aktif,Tinggi,P,Tidak,Ya
2.96,84.5,9.3,Tidak Aktif,Menengah,P,Tidak,Tidak
3.2,92.6,16.5,Tidak Aktif,Rendah,L,Tidak,Ya
3.21,87.9,,Tidak Aktif,Rendah,L,Tidak,Ya
3.64,96.4,24.1,Aktif,Menengah,P,Tidak,Ya
2.9,85.5,13.0,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.39,77.7,16.0,Tidak Aktif,Menengah,L,Tidak,Tidak
3.53,86.0,30.3,Aktif,Tinggi,L,Tidak,Tidak
2.9,46.8,24.6,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.55,86.6,11.9,Tidak Aktif,Rendah,L,Ya,Ya
3.22,40.0,9.8,Aktif,Menengah,P,Tidak,Tidak
2.99,61.3,11.7,Aktif,Tinggi,P,Tidak,Tidak
3.21,87.4,17.6,Tidak Aktif,Menengah,P,Ya,Ya
3.93,87.7,13.3,Aktif,Rendah,L,Tidak,Ya
3.98,68.1,11.2,Aktif,Tinggi,P,Tidak,Ya
3.08,73.5,24.3,Tidak Aktif,,P,Ya,Ya
3.12,98.4,13.2,Tidak Aktif,Menengah,L,Tidak,Ya
3.53,76.2,30.1,Aktif,Menengah,P,Tidak,Tidak
2.67,100.0,14.6,Aktif,Rendah,L,Tidak,Ya
3.2,82.0,26.5,Tidak Aktif,Tinggi,P,Tidak,Ya
3.04,86.9,16.5,Tidak Aktif,Menengah,L,Tidak,Ya
3.19,100.0,20.7,Tidak Aktif,Rendah,P,Tidak,Ya
2.67,83.6,8.9,Tidak Aktif,Menengah,P,Tidak,Ya
2.33,70.0,8.0,Tidak Aktif,Tinggi,L,Ya,Ya
2.12,80.7,17.2,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.55,81.6,20.9,Aktif,Rendah,L,Tidak,Tidak
2.84,65.6,14.3,Tidak Aktif,Rendah,P,Tidak,Ya
2.92,78.9,,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.92,73.1,4.5,Aktif,Tinggi,L,Tidak,Ya
3.55,93.1,4.0,Aktif,Menengah,L,Tidak,Ya
2.62,82.4,1.6,Tidak Aktif,Menengah,P,Tidak,Tidak
3.21,78.6,14.8,Aktif,Menengah,L,Tidak,Tidak
2.87,80.7,21.9,Aktif,Menengah,P,Tidak,Tidak
2.92,84.7,13.9,Aktif,Rendah,P,Tidak,Tidak
3.13,89.4,0.0,Tidak Aktif,Rendah,P,Tidak,Ya
3.33,70.0,12.7,Tidak Aktif,Rendah,L,Tidak,Tidak
2.9,69.5,12.9,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.53,95.3,28.7,Aktif,Rendah,P,Tidak,Ya
2.54,77.1,3.8,Aktif,Rendah,L,Ya,Tidak
3.05,65.0,11.3,Tidak Aktif,Menengah,L,Tidak,Tidak
4.0,87.3,25.9,Tidak Aktif,Rendah,L,Tidak,Ya
3.15,87.6,17.1,Tidak Aktif,,L,Tidak,Ya
3.69,63.6,17.9,Aktif,Menengah,P,Tidak,Ya
3.09,84.8,14.8,Aktif,Menengah,L,Ya,Ya
3.31,90.8,16.3,Aktif,Menengah,P,Ya,Ya
3.02,86.5,19.4,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.97,89.6,8.3,Tidak Aktif,Rendah,L,Tidak,Tidak
2.7,,,Tidak Aktif,Tinggi,L,Ya,Ya
3.24,86.0,4.4,Tidak Aktif,Tinggi,P,Tidak,Ya
2.67,78.4,16.3,Tidak Aktif,Tinggi,P,Tidak,Ya
3.35,76.2,,Tidak Aktif,Menengah,L,Tidak,Ya
3.54,92.4,9.7,Aktif,Menengah,P,Ya,Tidak
3.21,99.8,13.8,Tidak Aktif,Menengah,L,Ya,Ya
2.92,100.0,9.6,Aktif,Menengah,L,Tidak,Ya
3.25,97.8,6.5,Tidak Aktif,Rendah,L,Ya,Ya
2.91,80.7,11.5,Aktif,Tinggi,P,Tidak,Tidak
3.47,86.2,6.3,Tidak Aktif,Menengah,P,Tidak,Ya
2.23,91.2,16.3,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.9,83.5,5.9,Aktif,Menengah,L,Tidak,Tidak
2.15,83.6,19.0,Tidak Aktif,Rendah,L,Ya,Ya
2.38,91.9,5.7,Tidak Aktif,Menengah,P,Tidak,Tidak
